Date,S,r,q,sigma_hist,sigma_ml,price_bsm,price_ml,call_comp,put_comp,intrinsic,bsm_error,ml_error,improvement,vol_regime
2025-09-23,312.739990234375,0.04,0.0169469852449251,0.1666155282002125,0.17991377601035738,163.36625040605534,163.36633447073953,163.36633446711542,3.624112693092004e-09,162.739990234375,0.6262601716803431,0.6263442363645311,-8.406468418797886e-05,Normal
2025-09-24,313.4200134277344,0.0401999999999999,0.0169102155986667,0.1646149555416891,0.17958289904322652,164.07499228156385,164.07507238742195,164.07507238442716,2.994790722023921e-09,163.42001342773438,0.6549788538294763,0.6550589596875795,-8.01058581032521e-05,Normal
2025-09-25,313.45001220703125,0.0404,0.0169085972040077,0.1611751180937929,0.17080065229791663,164.1337963656956,164.1338198528485,164.13381985247895,3.695302445067326e-10,163.45001220703125,0.6837841586643378,0.6838076458172395,-2.348715290168002e-05,Normal
2025-09-26,316.0599975585937,0.0401999999999999,0.0167689680470159,0.1625003583413357,0.1751263210229756,166.71460040763802,166.71463666628037,166.71463666558398,6.964007337183852e-10,166.0599975585937,0.6546028490443234,0.6546391076866769,-3.6258642353459436e-05,Normal
2025-09-29,315.69000244140625,0.0404,0.0167886216193485,0.16251801749407,0.174918423537534,166.37347208419973,166.37350810149093,166.37350810079366,6.972659929767353e-10,165.69000244140625,0.683469642793483,0.683505660084677,-3.6017291193957135e-05,Normal
2025-09-30,315.42999267578125,0.0401999999999999,0.0168024605239352,0.1628320536273208,0.1746902453453697,166.08468419700728,166.08471953638593,166.08471953568912,6.968232273822718e-10,165.42999267578125,0.6546915212260274,0.6547268606046828,-3.533937865540793e-05,Normal
2025-10-01,310.7099914550781,0.0401,0.0170577070121874,0.1715318697954279,0.18202849159739748,161.3509782512856,161.35108725736083,161.35108724959085,7.769982294846832e-09,160.70999145507812,0.6409867962074713,0.641095802282706,-0.00010900607523467443,Normal
2025-10-02,307.54998779296875,0.0401999999999999,0.0172329709327374,0.1763370255515177,0.1839711120958719,158.20590393266562,158.2060406055154,158.20604058694278,1.8572613703289222e-08,157.54998779296875,0.6559161396968705,0.6560528125466476,-0.0001366728497771419,Normal
2025-10-03,310.0299987792969,0.0403,0.0170951198944233,0.171787021686945,0.17742220993273702,160.69990560043095,160.6999532890313,160.6999532858372,3.1940944377955356e-09,160.02999877929688,0.6699068211340773,0.6699545097344242,-4.76886003468735e-05,Normal
2025-10-06,309.17999267578125,0.0401999999999999,0.0219936611717652,0.1245622474520289,0.12989556865132226,158.3646308412084,158.36463086133287,158.36463086133287,2.9212827008291065e-16,159.17999267578125,0.8153618345728546,0.8153618144483801,2.0124474531257874e-08,Normal
2025-10-07,307.69000244140625,0.0401,0.0221001655758865,0.1244292975799658,0.12937288143927858,156.86058776450295,156.86058778574008,156.86058778574008,3.4749297587251557e-16,157.69000244140625,0.8294146769032977,0.8294146556661701,2.123712761203933e-08,Normal
